date,crop,price,supply,demand,weather_index,season_encoded,historical_avg
2023-01-01,wheat,250.5,1000,950,0.8,1,245.2
2023-01-02,wheat,252.1,980,960,0.7,1,245.2
2023-01-03,wheat,248.9,1020,940,0.9,1,245.2
2023-01-04,wheat,251.3,990,955,0.8,1,245.2
2023-01-05,wheat,249.7,1010,945,0.8,1,245.2
2023-01-06,rice,180.2,1200,1150,0.6,1,175.8
2023-01-07,rice,182.5,1180,1160,0.5,1,175.8
2023-01-08,rice,179.8,1220,1140,0.7,1,175.8
2023-01-09,rice,181.1,1190,1155,0.6,1,175.8
2023-01-10,rice,183.4,1170,1165,0.5,1,175.8
2023-01-11,corn,220.8,800,780,0.9,1,215.5
2023-01-12,corn,223.2,790,785,0.8,1,215.5
2023-01-13,corn,218.5,810,775,1.0,1,215.5
2023-01-14,corn,221.7,795,782,0.9,1,215.5
2023-01-15,corn,219.9,805,778,0.9,1,215.5
2023-02-01,wheat,255.8,950,970,0.6,1,245.2
2023-02-02,wheat,258.2,940,980,0.5,1,245.2
2023-02-03,wheat,253.4,960,965,0.7,1,245.2
2023-02-04,wheat,256.9,945,975,0.6,1,245.2
2023-02-05,wheat,254.1,955,970,0.6,1,245.2
2023-02-06,rice,185.7,1150,1180,0.4,1,175.8
2023-02-07,rice,188.1,1140,1190,0.3,1,175.8
2023-02-08,rice,184.3,1160,1175,0.5,1,175.8
2023-02-09,rice,186.8,1145,1185,0.4,1,175.8
2023-02-10,rice,189.2,1135,1195,0.3,1,175.8
2023-03-01,wheat,260.5,920,990,0.4,2,245.2
2023-03-02,wheat,263.8,910,1000,0.3,2,245.2
2023-03-03,wheat,258.1,930,985,0.5,2,245.2
2023-03-04,wheat,261.4,915,995,0.4,2,245.2
2023-03-05,wheat,259.7,925,988,0.4,2,245.2
2023-03-06,rice,192.3,1120,1210,0.2,2,175.8
2023-03-07,rice,195.6,1110,1220,0.1,2,175.8
2023-03-08,rice,190.9,1130,1205,0.3,2,175.8
2023-03-09,rice,193.7,1115,1215,0.2,2,175.8
2023-03-10,rice,196.1,1105,1225,0.1,2,175.8
2023-04-01,wheat,265.2,900,1010,0.3,2,245.2
2023-04-02,wheat,268.9,890,1020,0.2,2,245.2
2023-04-03,wheat,262.8,910,1005,0.4,2,245.2
2023-04-04,wheat,266.1,895,1015,0.3,2,245.2
2023-04-05,wheat,264.5,905,1008,0.3,2,245.2
2023-04-06,rice,198.4,1100,1240,0.1,2,175.8
2023-04-07,rice,201.7,1090,1250,0.0,2,175.8
2023-04-08,rice,196.2,1110,1235,0.2,2,175.8
2023-04-09,rice,199.8,1095,1245,0.1,2,175.8
2023-04-10,rice,202.5,1085,1255,0.0,2,175.8
2023-05-01,wheat,270.8,880,1030,0.2,2,245.2
2023-05-02,wheat,274.1,870,1040,0.1,2,245.2
2023-05-03,wheat,268.5,890,1025,0.3,2,245.2
2023-05-04,wheat,271.9,875,1035,0.2,2,245.2
2023-05-05,wheat,269.3,885,1028,0.2,2,245.2
