date,temperature,humidity,rainfall,wind_speed,pressure,location
2023-01-01,22.5,75.2,5.2,8.1,1015.2,farm_1
2023-01-02,23.1,73.8,0.0,7.9,1016.1,farm_1
2023-01-03,21.8,78.5,12.3,9.2,1013.8,farm_1
2023-01-04,24.2,71.2,0.0,6.5,1017.3,farm_1
2023-01-05,22.9,76.1,3.1,8.7,1014.9,farm_1
2023-01-06,25.3,68.9,0.0,5.8,1018.7,farm_2
2023-01-07,26.1,65.4,0.0,6.2,1019.2,farm_2
2023-01-08,24.8,70.3,1.5,7.1,1017.8,farm_2
2023-01-09,23.7,74.6,8.9,8.9,1015.4,farm_2
2023-01-10,25.9,67.2,0.0,5.4,1020.1,farm_2
2023-01-11,27.4,62.8,0.0,4.9,1021.5,farm_3
2023-01-12,28.2,59.3,0.0,5.2,1022.1,farm_3
2023-01-13,26.8,65.7,2.8,6.8,1019.7,farm_3
2023-01-14,25.5,69.1,6.4,7.9,1017.2,farm_3
2023-01-15,27.1,63.5,0.0,5.7,1020.8,farm_3
2023-02-01,24.8,72.3,4.7,8.3,1016.4,farm_1
2023-02-02,25.6,69.8,0.0,7.1,1018.2,farm_1
2023-02-03,23.9,75.9,9.2,9.5,1014.7,farm_1
2023-02-04,26.3,66.4,0.0,6.8,1019.6,farm_1
2023-02-05,24.1,73.7,2.3,8.1,1016.9,farm_1
2023-02-06,27.2,64.1,0.0,5.9,1020.3,farm_2
2023-02-07,28.4,61.7,0.0,5.3,1021.8,farm_2
2023-02-08,26.9,67.8,1.9,7.2,1018.5,farm_2
2023-02-09,25.7,71.2,7.6,8.7,1016.1,farm_2
2023-02-10,27.8,63.9,0.0,6.1,1020.7,farm_2
2023-03-01,29.1,58.4,0.0,4.7,1023.2,farm_3
2023-03-02,30.3,55.9,0.0,4.2,1024.6,farm_3
2023-03-03,28.7,62.1,3.4,6.5,1021.3,farm_3
2023-03-04,27.4,66.8,8.1,8.2,1018.9,farm_3
2023-03-05,29.6,59.7,0.0,5.1,1022.8,farm_3
2023-03-06,26.5,70.6,5.8,8.9,1017.4,farm_1
2023-03-07,27.8,67.2,0.0,7.3,1019.1,farm_1
2023-03-08,25.9,73.4,11.5,9.8,1015.6,farm_1
2023-03-09,28.1,65.8,0.0,6.7,1020.2,farm_1
2023-03-10,26.3,71.9,3.7,8.4,1017.8,farm_1
2023-04-01,30.2,56.3,0.0,4.5,1024.1,farm_2
2023-04-02,31.7,53.8,0.0,3.9,1025.7,farm_2
2023-04-03,29.8,59.4,2.1,5.8,1022.4,farm_2
2023-04-04,28.5,63.7,6.9,7.6,1019.8,farm_2
2023-04-05,30.9,57.1,0.0,4.8,1023.9,farm_2
2023-04-06,32.4,51.2,0.0,3.6,1026.3,farm_3
2023-04-07,33.8,48.7,0.0,3.1,1027.9,farm_3
2023-04-08,31.9,54.5,1.8,5.2,1024.6,farm_3
2023-04-09,30.6,58.9,5.4,6.9,1021.7,farm_3
2023-04-10,32.1,52.6,0.0,4.1,1025.8,farm_3
2023-05-01,28.7,64.8,7.3,9.1,1018.2,farm_1
2023-05-02,29.9,61.4,0.0,7.8,1020.5,farm_1
2023-05-03,27.6,68.2,13.7,10.4,1016.1,farm_1
2023-05-04,30.4,59.7,0.0,6.9,1021.8,farm_1
2023-05-05,28.1,65.3,4.9,8.6,1018.9,farm_1
2023-05-06,33.6,49.8,0.0,3.8,1026.7,farm_2
2023-05-07,35.1,46.3,0.0,3.2,1028.4,farm_2
2023-05-08,32.7,52.9,2.6,5.7,1025.1,farm_2
2023-05-09,31.4,56.4,7.8,7.4,1022.3,farm_2
2023-05-10,34.2,50.1,0.0,4.3,1027.2,farm_2
2023-06-01,36.8,44.7,0.0,2.9,1029.6,farm_3
2023-06-02,38.3,41.2,0.0,2.4,1031.2,farm_3
2023-06-03,35.9,47.8,1.3,4.6,1027.8,farm_3
2023-06-04,34.6,51.3,5.2,6.3,1024.9,farm_3
2023-06-05,37.1,45.6,0.0,3.5,1028.7,farm_3
2023-06-06,30.3,62.1,9.4,9.7,1019.4,farm_1
